"go_id","term_name"
"GO:0001578","microtubule bundle formation"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste"
"GO:0001649","osteoblast differentiation"
"GO:0001654","eye development"
"GO:0001655","urogenital system development"
"GO:0001656","metanephros development"
"GO:0001657","ureteric bud development"
"GO:0001658","branching involved in ureteric bud morphogenesis"
"GO:0001659","temperature homeostasis"
"GO:0001662","behavioral fear response"
"GO:0001666","response to hypoxia"
"GO:0001675","acrosome assembly"
"GO:0001676","long-chain fatty acid metabolic process"
"GO:0001678","intracellular glucose homeostasis"
"GO:0001682","tRNA 5'-leader removal"
"GO:0001701","in utero embryonic development"
"GO:0001702","gastrulation with mouth forming second"
"GO:0001706","endoderm formation"
"GO:0001707","mesoderm formation"
"GO:0001708","cell fate specification"
"GO:0001709","cell fate determination"
"GO:0001736","establishment of planar polarity"
"GO:0001755","neural crest cell migration"
"GO:0001756","somitogenesis"
"GO:0001764","neuron migration"
"GO:0001771","immunological synapse formation"
"GO:0001774","microglial cell activation"
"GO:0001778","plasma membrane repair"
"GO:0001779","natural killer cell differentiation"
"GO:0001782","B cell homeostasis"
"GO:0001817","regulation of cytokine production"
"GO:0001818","negative regulation of cytokine production"
"GO:0001819","positive regulation of cytokine production"
"GO:0001822","kidney development"
"GO:0001823","mesonephros development"
"GO:0001824","blastocyst development"
"GO:0001825","blastocyst formation"
"GO:0001829","trophectodermal cell differentiation"
"GO:0001833","inner cell mass cell proliferation"
"GO:0001835","blastocyst hatching"
"GO:0001836","release of cytochrome c from mitochondria"
"GO:0001837","epithelial to mesenchymal transition"
"GO:0001843","neural tube closure"
"GO:0001878","response to yeast"
"GO:0001881","receptor recycling"
"GO:0001886","endothelial cell morphogenesis"
"GO:0001889","liver development"
"GO:0001890","placenta development"
"GO:0001892","embryonic placenta development"
"GO:0001894","tissue homeostasis"
"GO:0001895","retina homeostasis"
"GO:0001913","T cell mediated cytotoxicity"
"GO:0001916","positive regulation of T cell mediated cytotoxicity"
"GO:0001921","positive regulation of receptor recycling"
"GO:0001932","regulation of protein phosphorylation"
"GO:0001933","negative regulation of protein phosphorylation"
"GO:0001934","positive regulation of protein phosphorylation"
"GO:0001935","endothelial cell proliferation"
"GO:0001937","negative regulation of endothelial cell proliferation"
"GO:0001938","positive regulation of endothelial cell proliferation"
"GO:0001942","hair follicle development"
"GO:0001944","vasculature development"
"GO:0001946","lymphangiogenesis"
"GO:0001947","heart looping"
"GO:0001952","regulation of cell-matrix adhesion"
"GO:0001953","negative regulation of cell-matrix adhesion"
"GO:0001954","positive regulation of cell-matrix adhesion"
"GO:0001958","endochondral ossification"
"GO:0001963","synaptic transmission, dopaminergic"
"GO:0001964","startle response"
"GO:0001967","suckling behavior"
"GO:0001974","blood vessel remodeling"
"GO:0001975","response to amphetamine"
"GO:0002009","morphogenesis of an epithelium"
"GO:0002021","response to dietary excess"
"GO:0002024","diet induced thermogenesis"
"GO:0002026","regulation of the force of heart contraction"
"GO:0002027","regulation of heart rate"
"GO:0002028","regulation of sodium ion transport"
"GO:0002040","sprouting angiogenesis"
"GO:0002042","cell migration involved in sprouting angiogenesis"
"GO:0002052","positive regulation of neuroblast proliferation"
"GO:0002053","positive regulation of mesenchymal cell proliferation"
"GO:0002062","chondrocyte differentiation"
"GO:0002063","chondrocyte development"
"GO:0002076","osteoblast development"
"GO:0002087","regulation of respiratory gaseous exchange by nervous system process"
"GO:0002088","lens development in camera-type eye"
"GO:0002089","lens morphogenesis in camera-type eye"
"GO:0002091","negative regulation of receptor internalization"
"GO:0002092","positive regulation of receptor internalization"
"GO:0002098","tRNA wobble uridine modification"
"GO:0002181","cytoplasmic translation"
"GO:0002218","activation of innate immune response"
"GO:0002221","pattern recognition receptor signaling pathway"
"GO:0002223","stimulatory C-type lectin receptor signaling pathway"
"GO:0002224","toll-like receptor signaling pathway"
"GO:0002227","innate immune response in mucosa"
"GO:0002230","positive regulation of defense response to virus by host"
"GO:0002244","hematopoietic progenitor cell differentiation"
"GO:0002250","adaptive immune response"
"GO:0002281","macrophage activation involved in immune response"
"GO:0002286","T cell activation involved in immune response"
"GO:0002312","B cell activation involved in immune response"
"GO:0002323","natural killer cell activation involved in immune response"
"GO:0002357","defense response to tumor cell"
"GO:0002376","immune system process"
"GO:0002407","dendritic cell chemotaxis"
"GO:0002430","complement receptor mediated signaling pathway"
"GO:0002437","inflammatory response to antigenic stimulus"
"GO:0002467","germinal center formation"
"GO:0002503","peptide antigen assembly with MHC class II protein complex"
"GO:0002523","leukocyte migration involved in inflammatory response"
"GO:0002548","monocyte chemotaxis"
"GO:0002639","positive regulation of immunoglobulin production"
"GO:0002682","regulation of immune system process"
"GO:0002687","positive regulation of leukocyte migration"
"GO:0002690","positive regulation of leukocyte chemotaxis"
"GO:0002720","positive regulation of cytokine production involved in immune response"
"GO:0002726","positive regulation of T cell cytokine production"
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway"
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway"
"GO:0002764","immune response-regulating signaling pathway"
"GO:0002862","negative regulation of inflammatory response to antigenic stimulus"
"GO:0002931","response to ischemia"
"GO:0003007","heart morphogenesis"
"GO:0003009","skeletal muscle contraction"
"GO:0003016","respiratory system process"
"GO:0003073","regulation of systemic arterial blood pressure"
"GO:0003084","positive regulation of systemic arterial blood pressure"
"GO:0003085","negative regulation of systemic arterial blood pressure"
"GO:0003091","renal water homeostasis"
"GO:0003094","glomerular filtration"
"GO:0003139","secondary heart field specification"
"GO:0003148","outflow tract septum morphogenesis"
"GO:0003151","outflow tract morphogenesis"
"GO:0003158","endothelium development"
"GO:0003161","cardiac conduction system development"
"GO:0003180","aortic valve morphogenesis"
"GO:0003183","mitral valve morphogenesis"
"GO:0003184","pulmonary valve morphogenesis"
"GO:0003197","endocardial cushion development"
"GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation"
"GO:0003203","endocardial cushion morphogenesis"
"GO:0003214","cardiac left ventricle morphogenesis"
"GO:0003215","cardiac right ventricle morphogenesis"
"GO:0003222","ventricular trabecula myocardium morphogenesis"
"GO:0003254","regulation of membrane depolarization"
"GO:0003272","endocardial cushion formation"
"GO:0003281","ventricular septum development"
"GO:0003333","amino acid transmembrane transport"
"GO:0003341","cilium movement"
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement"
"GO:0003376","sphingosine-1-phosphate receptor signaling pathway"
"GO:0003382","epithelial cell morphogenesis"
"GO:0003407","neural retina development"
"GO:0005513","detection of calcium ion"
"GO:0005975","carbohydrate metabolic process"
"GO:0005977","glycogen metabolic process"
"GO:0005978","glycogen biosynthetic process"
"GO:0006002","fructose 6-phosphate metabolic process"
"GO:0006006","glucose metabolic process"
"GO:0006024","glycosaminoglycan biosynthetic process"
"GO:0006044","N-acetylglucosamine metabolic process"
"GO:0006071","glycerol metabolic process"
"GO:0006090","pyruvate metabolic process"
"GO:0006091","generation of precursor metabolites and energy"
"GO:0006094","gluconeogenesis"
"GO:0006096","glycolytic process"
"GO:0006099","tricarboxylic acid cycle"
"GO:0006103","2-oxoglutarate metabolic process"
"GO:0006111","regulation of gluconeogenesis"
"GO:0006112","energy reserve metabolic process"
"GO:0006119","oxidative phosphorylation"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen"
"GO:0006139","nucleobase-containing compound metabolic process"
"GO:0006164","purine nucleotide biosynthetic process"
"GO:0006259","DNA metabolic process"
"GO:0006260","DNA replication"
"GO:0006261","DNA-templated DNA replication"
"GO:0006268","DNA unwinding involved in DNA replication"
"GO:0006270","DNA replication initiation"
"GO:0006275","regulation of DNA replication"
"GO:0006281","DNA repair"
"GO:0006282","regulation of DNA repair"
"GO:0006284","base-excision repair"
"GO:0006287","base-excision repair, gap-filling"
"GO:0006289","nucleotide-excision repair"
"GO:0006298","mismatch repair"
"GO:0006302","double-strand break repair"
"GO:0006303","double-strand break repair via nonhomologous end joining"
"GO:0006309","apoptotic DNA fragmentation"
"GO:0006310","DNA recombination"
"GO:0006325","chromatin organization"
"GO:0006334","nucleosome assembly"
"GO:0006337","nucleosome disassembly"
"GO:0006346","DNA methylation-dependent heterochromatin formation"
"GO:0006351","DNA-templated transcription"
"GO:0006352","DNA-templated transcription initiation"
"GO:0006360","transcription by RNA polymerase I"
"GO:0006364","rRNA processing"
"GO:0006366","transcription by RNA polymerase II"
"GO:0006367","transcription initiation at RNA polymerase II promoter"
"GO:0006368","transcription elongation by RNA polymerase II"
"GO:0006376","mRNA splice site recognition"
"GO:0006383","transcription by RNA polymerase III"
"GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation"
"GO:0006396","RNA processing"
"GO:0006397","mRNA processing"
"GO:0006400","tRNA modification"
"GO:0006401","RNA catabolic process"
"GO:0006402","mRNA catabolic process"
"GO:0006405","RNA export from nucleus"
"GO:0006406","mRNA export from nucleus"
"GO:0006412","translation"
"GO:0006413","translational initiation"
"GO:0006414","translational elongation"
"GO:0006417","regulation of translation"
"GO:0006418","tRNA aminoacylation for protein translation"
"GO:0006446","regulation of translational initiation"
"GO:0006457","protein folding"
"GO:0006465","signal peptide processing"
"GO:0006469","negative regulation of protein kinase activity"
"GO:0006470","protein dephosphorylation"
"GO:0006473","protein acetylation"
"GO:0006476","protein deacetylation"
"GO:0006479","protein methylation"
"GO:0006486","protein glycosylation"
"GO:0006487","protein N-linked glycosylation"
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process"
"GO:0006491","N-glycan processing"
"GO:0006493","protein O-linked glycosylation"
"GO:0006506","GPI anchor biosynthetic process"
"GO:0006509","membrane protein ectodomain proteolysis"
"GO:0006511","ubiquitin-dependent protein catabolic process"
"GO:0006513","protein monoubiquitination"
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins"
"GO:0006516","glycoprotein catabolic process"
"GO:0006518","peptide metabolic process"
"GO:0006520","amino acid metabolic process"
"GO:0006536","glutamate metabolic process"
"GO:0006541","glutamine metabolic process"
"GO:0006590","thyroid hormone generation"
"GO:0006605","protein targeting"
"GO:0006606","protein import into nucleus"
"GO:0006607","NLS-bearing protein import into nucleus"
"GO:0006611","protein export from nucleus"
"GO:0006612","protein targeting to membrane"
"GO:0006622","protein targeting to lysosome"
"GO:0006623","protein targeting to vacuole"
"GO:0006626","protein targeting to mitochondrion"
"GO:0006629","lipid metabolic process"
"GO:0006631","fatty acid metabolic process"
"GO:0006633","fatty acid biosynthetic process"
"GO:0006635","fatty acid beta-oxidation"
"GO:0006636","unsaturated fatty acid biosynthetic process"
"GO:0006637","acyl-CoA metabolic process"
"GO:0006641","triglyceride metabolic process"
"GO:0006644","phospholipid metabolic process"
"GO:0006654","phosphatidic acid biosynthetic process"
"GO:0006656","phosphatidylcholine biosynthetic process"
"GO:0006661","phosphatidylinositol biosynthetic process"
"GO:0006665","sphingolipid metabolic process"
"GO:0006672","ceramide metabolic process"
"GO:0006686","sphingomyelin biosynthetic process"
"GO:0006688","glycosphingolipid biosynthetic process"
"GO:0006693","prostaglandin metabolic process"
"GO:0006694","steroid biosynthetic process"
"GO:0006695","cholesterol biosynthetic process"
"GO:0006699","bile acid biosynthetic process"
"GO:0006730","one-carbon metabolic process"
"GO:0006739","NADP metabolic process"
"GO:0006744","ubiquinone biosynthetic process"
"GO:0006749","glutathione metabolic process"
"GO:0006750","glutathione biosynthetic process"
"GO:0006754","ATP biosynthetic process"
"GO:0006783","heme biosynthetic process"
"GO:0006784","heme A biosynthetic process"
"GO:0006790","sulfur compound metabolic process"
"GO:0006796","phosphate-containing compound metabolic process"
"GO:0006801","superoxide metabolic process"
"GO:0006805","xenobiotic metabolic process"
"GO:0006809","nitric oxide biosynthetic process"
"GO:0006811","monoatomic ion transport"
"GO:0006812","monoatomic cation transport"
"GO:0006813","potassium ion transport"
"GO:0006814","sodium ion transport"
"GO:0006816","calcium ion transport"
"GO:0006820","monoatomic anion transport"
"GO:0006821","chloride transport"
"GO:0006826","iron ion transport"
"GO:0006829","zinc ion transport"
"GO:0006833","water transport"
"GO:0006836","neurotransmitter transport"
"GO:0006839","mitochondrial transport"
"GO:0006851","mitochondrial calcium ion transmembrane transport"
"GO:0006855","xenobiotic transmembrane transport"
"GO:0006865","amino acid transport"
"GO:0006869","lipid transport"
"GO:0006874","intracellular calcium ion homeostasis"
"GO:0006878","intracellular copper ion homeostasis"
"GO:0006879","intracellular iron ion homeostasis"
"GO:0006882","intracellular zinc ion homeostasis"
"GO:0006883","intracellular sodium ion homeostasis"
"GO:0006884","cell volume homeostasis"
"GO:0006885","regulation of pH"
"GO:0006886","intracellular protein transport"
"GO:0006887","exocytosis"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport"
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"GO:0006891","intra-Golgi vesicle-mediated transport"
"GO:0006892","post-Golgi vesicle-mediated transport"
"GO:0006893","Golgi to plasma membrane transport"
"GO:0006895","Golgi to endosome transport"
"GO:0006897","endocytosis"
"GO:0006898","receptor-mediated endocytosis"
"GO:0006900","vesicle budding from membrane"
"GO:0006904","vesicle docking involved in exocytosis"
"GO:0006906","vesicle fusion"
"GO:0006909","phagocytosis"
"GO:0006911","phagocytosis, engulfment"
"GO:0006913","nucleocytoplasmic transport"
"GO:0006914","autophagy"
"GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process"
"GO:0006935","chemotaxis"
"GO:0006936","muscle contraction"
"GO:0006939","smooth muscle contraction"
"GO:0006940","regulation of smooth muscle contraction"
"GO:0006941","striated muscle contraction"
"GO:0006952","defense response"
"GO:0006953","acute-phase response"
"GO:0006955","immune response"
"GO:0006956","complement activation"
"GO:0006957","complement activation, alternative pathway"
"GO:0006958","complement activation, classical pathway"
"GO:0006959","humoral immune response"
"GO:0006968","cellular defense response"
"GO:0006970","response to osmotic stress"
"GO:0006974","DNA damage response"
"GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
"GO:0006979","response to oxidative stress"
"GO:0006986","response to unfolded protein"
"GO:0006997","nucleus organization"
"GO:0006998","nuclear envelope organization"
"GO:0007004","telomere maintenance via telomerase"
"GO:0007005","mitochondrion organization"
"GO:0007007","inner mitochondrial membrane organization"
"GO:0007009","plasma membrane organization"
"GO:0007010","cytoskeleton organization"
"GO:0007015","actin filament organization"
"GO:0007018","microtubule-based movement"
"GO:0007019","microtubule depolymerization"
"GO:0007020","microtubule nucleation"
"GO:0007026","negative regulation of microtubule depolymerization"
"GO:0007029","endoplasmic reticulum organization"
"GO:0007030","Golgi organization"
"GO:0007031","peroxisome organization"
"GO:0007032","endosome organization"
"GO:0007033","vacuole organization"
"GO:0007035","vacuolar acidification"
"GO:0007040","lysosome organization"
"GO:0007041","lysosomal transport"
"GO:0007042","lysosomal lumen acidification"
"GO:0007043","cell-cell junction assembly"
"GO:0007051","spindle organization"
"GO:0007052","mitotic spindle organization"
"GO:0007059","chromosome segregation"
"GO:0007062","sister chromatid cohesion"
"GO:0007064","mitotic sister chromatid cohesion"
"GO:0007076","mitotic chromosome condensation"
"GO:0007080","mitotic metaphase chromosome alignment"
"GO:0007088","regulation of mitotic nuclear division"
"GO:0007094","mitotic spindle assembly checkpoint signaling"
"GO:0007095","mitotic G2 DNA damage checkpoint signaling"
"GO:0007097","nuclear migration"
"GO:0007098","centrosome cycle"
"GO:0007099","centriole replication"
"GO:0007129","homologous chromosome pairing at meiosis"
"GO:0007130","synaptonemal complex assembly"
"GO:0007131","reciprocal meiotic recombination"
"GO:0007140","male meiotic nuclear division"
"GO:0007141","male meiosis I"
"GO:0007154","cell communication"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules"
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules"
"GO:0007158","neuron cell-cell adhesion"
"GO:0007159","leukocyte cell-cell adhesion"
"GO:0007160","cell-matrix adhesion"
"GO:0007162","negative regulation of cell adhesion"
"GO:0007163","establishment or maintenance of cell polarity"
"GO:0007166","cell surface receptor signaling pathway"
"GO:0007168","receptor guanylyl cyclase signaling pathway"
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway"
"GO:0007173","epidermal growth factor receptor signaling pathway"
"GO:0007175","negative regulation of epidermal growth factor-activated receptor activity"
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway"
"GO:0007179","transforming growth factor beta receptor signaling pathway"
"GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"GO:0007190","activation of adenylate cyclase activity"
"GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway"
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway"
"GO:0007194","negative regulation of adenylate cyclase activity"
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway"
"GO:0007204","positive regulation of cytosolic calcium ion concentration"
"GO:0007212","G protein-coupled dopamine receptor signaling pathway"
"GO:0007213","G protein-coupled acetylcholine receptor signaling pathway"
"GO:0007214","gamma-aminobutyric acid signaling pathway"
"GO:0007215","glutamate receptor signaling pathway"
"GO:0007216","G protein-coupled glutamate receptor signaling pathway"
"GO:0007218","neuropeptide signaling pathway"
"GO:0007219","Notch signaling pathway"
"GO:0007224","smoothened signaling pathway"
"GO:0007229","integrin-mediated signaling pathway"
"GO:0007249","canonical NF-kappaB signal transduction"
"GO:0007250","activation of NF-kappaB-inducing kinase activity"
"GO:0007254","JNK cascade"
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT"
"GO:0007263","nitric oxide mediated signal transduction"
"GO:0007264","small GTPase-mediated signal transduction"
"GO:0007265","Ras protein signal transduction"
"GO:0007266","Rho protein signal transduction"
"GO:0007267","cell-cell signaling"
"GO:0007268","chemical synaptic transmission"
"GO:0007269","neurotransmitter secretion"
"GO:0007271","synaptic transmission, cholinergic"
"GO:0007274","neuromuscular synaptic transmission"
"GO:0007275","multicellular organism development"
"GO:0007276","gamete generation"
"GO:0007281","germ cell development"
"GO:0007286","spermatid development"
"GO:0007288","sperm axoneme assembly"
"GO:0007292","female gamete generation"
"GO:0007338","single fertilization"
"GO:0007339","binding of sperm to zona pellucida"
"GO:0007340","acrosome reaction"
"GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization"
"GO:0007346","regulation of mitotic cell cycle"
"GO:0007368","determination of left/right symmetry"
"GO:0007369","gastrulation"
"GO:0007389","pattern specification process"
"GO:0007398","ectoderm development"
"GO:0007405","neuroblast proliferation"
"GO:0007406","negative regulation of neuroblast proliferation"
"GO:0007409","axonogenesis"
"GO:0007411","axon guidance"
"GO:0007413","axonal fasciculation"
"GO:0007416","synapse assembly"
"GO:0007417","central nervous system development"
"GO:0007420","brain development"
"GO:0007422","peripheral nervous system development"
"GO:0007423","sensory organ development"
"GO:0007492","endoderm development"
"GO:0007498","mesoderm development"
"GO:0007507","heart development"
"GO:0007517","muscle organ development"
"GO:0007519","skeletal muscle tissue development"
"GO:0007520","myoblast fusion"
"GO:0007528","neuromuscular junction development"
"GO:0007548","sex differentiation"
"GO:0007565","female pregnancy"
"GO:0007566","embryo implantation"
"GO:0007584","response to nutrient"
"GO:0007585","respiratory gaseous exchange by respiratory system"
"GO:0007586","digestion"
"GO:0007595","lactation"
"GO:0007596","blood coagulation"
"GO:0007600","sensory perception"
"GO:0007601","visual perception"
"GO:0007602","phototransduction"
"GO:0007605","sensory perception of sound"
"GO:0007608","sensory perception of smell"
"GO:0007611","learning or memory"
"GO:0007612","learning"
"GO:0007613","memory"
"GO:0007616","long-term memory"
"GO:0007623","circadian rhythm"
"GO:0007625","grooming behavior"
"GO:0007626","locomotory behavior"
"GO:0007628","adult walking behavior"
"GO:0007631","feeding behavior"
"GO:0008015","blood circulation"
"GO:0008016","regulation of heart contraction"
"GO:0008033","tRNA processing"
"GO:0008045","motor neuron axon guidance"
"GO:0008053","mitochondrial fusion"
"GO:0008089","anterograde axonal transport"
"GO:0008090","retrograde axonal transport"
"GO:0008104","protein localization"
"GO:0008154","actin polymerization or depolymerization"
"GO:0008156","negative regulation of DNA replication"
"GO:0008202","steroid metabolic process"
"GO:0008203","cholesterol metabolic process"
"GO:0008206","bile acid metabolic process"
"GO:0008209","androgen metabolic process"
"GO:0008210","estrogen metabolic process"
"GO:0008217","regulation of blood pressure"
"GO:0008277","regulation of G protein-coupled receptor signaling pathway"
"GO:0008283","cell population proliferation"
"GO:0008286","insulin receptor signaling pathway"
"GO:0008306","associative learning"
"GO:0008333","endosome to lysosome transport"
"GO:0008340","determination of adult lifespan"
"GO:0008344","adult locomotory behavior"
"GO:0008347","glial cell migration"
"GO:0008360","regulation of cell shape"
"GO:0008361","regulation of cell size"
"GO:0008380","RNA splicing"
"GO:0008406","gonad development"
"GO:0008542","visual learning"
"GO:0008543","fibroblast growth factor receptor signaling pathway"
"GO:0008544","epidermis development"
"GO:0008584","male gonad development"
"GO:0008585","female gonad development"
"GO:0008589","regulation of smoothened signaling pathway"
"GO:0008593","regulation of Notch signaling pathway"
"GO:0008608","attachment of spindle microtubules to kinetochore"
"GO:0008610","lipid biosynthetic process"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors"
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage"
"GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress"
"GO:0008637","apoptotic mitochondrial changes"
"GO:0008645","hexose transmembrane transport"
"GO:0008654","phospholipid biosynthetic process"
"GO:0009058","biosynthetic process"
"GO:0009060","aerobic respiration"
"GO:0009083","branched-chain amino acid catabolic process"
"GO:0009100","glycoprotein metabolic process"
"GO:0009101","glycoprotein biosynthetic process"
"GO:0009267","cellular response to starvation"
"GO:0009303","rRNA transcription"
"GO:0009306","protein secretion"
"GO:0009311","oligosaccharide metabolic process"
"GO:0009312","oligosaccharide biosynthetic process"
"GO:0009313","oligosaccharide catabolic process"
"GO:0009314","response to radiation"
"GO:0009395","phospholipid catabolic process"
"GO:0009408","response to heat"
"GO:0009409","response to cold"
"GO:0009410","response to xenobiotic stimulus"
"GO:0009411","response to UV"
"GO:0009416","response to light stimulus"
"GO:0009566","fertilization"
"GO:0009611","response to wounding"
"GO:0009612","response to mechanical stimulus"
"GO:0009615","response to virus"
"GO:0009617","response to bacterium"
"GO:0009636","response to toxic substance"
"GO:0009650","UV protection"
"GO:0009653","anatomical structure morphogenesis"
"GO:0009725","response to hormone"
"GO:0009749","response to glucose"
"GO:0009755","hormone-mediated signaling pathway"
"GO:0009791","post-embryonic development"
"GO:0009792","embryo development ending in birth or egg hatching"
"GO:0009880","embryonic pattern specification"
"GO:0009887","animal organ morphogenesis"
"GO:0009948","anterior/posterior axis specification"
"GO:0009950","dorsal/ventral axis specification"
"GO:0009952","anterior/posterior pattern specification"
"GO:0009953","dorsal/ventral pattern formation"
"GO:0009954","proximal/distal pattern formation"
"GO:0009966","regulation of signal transduction"
"GO:0009968","negative regulation of signal transduction"
"GO:0010001","glial cell differentiation"
"GO:0010039","response to iron ion"
"GO:0010043","response to zinc ion"
"GO:0010165","response to X-ray"
"GO:0010212","response to ionizing radiation"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient"
"GO:0010269","response to selenium ion"
"GO:0010273","detoxification of copper ion"
"GO:0010288","response to lead ion"
"GO:0010332","response to gamma radiation"
"GO:0010447","response to acidic pH"
"GO:0010457","centriole-centriole cohesion"
"GO:0010458","exit from mitosis"
"GO:0010460","positive regulation of heart rate"
"GO:0010463","mesenchymal cell proliferation"
"GO:0010466","negative regulation of peptidase activity"
"GO:0010467","gene expression"
"GO:0010468","regulation of gene expression"
"GO:0010469","regulation of signaling receptor activity"
"GO:0010498","proteasomal protein catabolic process"
"GO:0010506","regulation of autophagy"
"GO:0010507","negative regulation of autophagy"
"GO:0010508","positive regulation of autophagy"
"GO:0010524","positive regulation of calcium ion transport into cytosol"
"GO:0010526","retrotransposon silencing"
"GO:0010564","regulation of cell cycle process"
"GO:0010569","regulation of double-strand break repair via homologous recombination"
"GO:0010575","positive regulation of vascular endothelial growth factor production"
"GO:0010592","positive regulation of lamellipodium assembly"
"GO:0010595","positive regulation of endothelial cell migration"
"GO:0010596","negative regulation of endothelial cell migration"
"GO:0010608","post-transcriptional regulation of gene expression"
"GO:0010613","positive regulation of cardiac muscle hypertrophy"
"GO:0010614","negative regulation of cardiac muscle hypertrophy"
"GO:0010629","negative regulation of gene expression"
"GO:0010631","epithelial cell migration"
"GO:0010633","negative regulation of epithelial cell migration"
"GO:0010634","positive regulation of epithelial cell migration"
"GO:0010659","cardiac muscle cell apoptotic process"
"GO:0010666","positive regulation of cardiac muscle cell apoptotic process"
"GO:0010667","negative regulation of cardiac muscle cell apoptotic process"
"GO:0010669","epithelial structure maintenance"
"GO:0010717","regulation of epithelial to mesenchymal transition"
"GO:0010718","positive regulation of epithelial to mesenchymal transition"
"GO:0010719","negative regulation of epithelial to mesenchymal transition"
"GO:0010744","positive regulation of macrophage derived foam cell differentiation"
"GO:0010745","negative regulation of macrophage derived foam cell differentiation"
"GO:0010759","positive regulation of macrophage chemotaxis"
"GO:0010761","fibroblast migration"
